,shape,cell.width,cell.length,Acrobeles_emmatus_MB04,Acrobeles_emmatus_MB05,Acrobeles_emmatus_MB06,Acrobeles_emmatus_MB07,Acrobeles_emmatus_MB20,Acrobeles_emmatus_MB36,Acrobeles_mariannae_MB02,Acrobeles_mariannae_MB11,Acrobeles_mariannae_MB12,Acrobeles_mariannae_MB19,Acrobeles_mariannae_MB35,Acrobeles_mariannae_MB37,Acrobeles_sp_MB10,Acrobeles_sp_MB33,Acrobeloides_sp_MB26,Acrobeloides_sp_MB39,Acrobeloides_sp_MB40,Cervidellus_sp_MB03,Cervidellus_sp_MB24,Mesorhabditis_sp_MB16,Mesorhabditis_sp_MB17,Mesorhabditis_sp_MB18,Mesorhabditis_sp_MB27,Mesorhabditis_sp_MB28,PC_sample_A_PC1,PC_sample_E_PC4,PC_sample_F_PC5,PC_sample_G_PC3,PC_sample_M_PC2,Stegelleta_sp_MB01,Stegelleta_sp_MB14,Stegelleta_sp_MB15,Stegelleta_sp_MB31,Stegelleta_sp_MB32,Stegelleta_sp_MB38,Stegelletina_sp_MB09,Stegelletina_sp_MB13,Stegelletina_sp_MB21,Stegelletina_sp_MB29,Stegelletina_sp_MB30,Stegelletina_sp_MB34,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Rhodococcus erythropolis,coccus,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis
Nakamurella deserti,coccus,0.9,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Nakamurellales,Nakamurellaceae,Nakamurella,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella deserti
Nakamurella flavida,coccus,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Nakamurellales,Nakamurellaceae,Nakamurella,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella flavida
Friedmanniella luteola,coccus,1.35,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,496,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Friedmanniella,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Friedmanniella;Friedmanniella luteola
Nocardioides marmoribigeumensis,coccus,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,85,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides marmoribigeumensis
Microlunatus endophyticus,coccus,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus;Microlunatus endophyticus
Microlunatus ginsengisoli,coccus,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus;Microlunatus ginsengisoli
Microlunatus okinawensis,coccus,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus,Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus;Microlunatus okinawensis
Abyssicoccus albus,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Abyssicoccaceae,Abyssicoccus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Abyssicoccaceae;Abyssicoccus;Abyssicoccus albus
Metaplanococcus flavidus,coccus,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Caryophanaceae,Metaplanococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Metaplanococcus;Metaplanococcus flavidus
Planococcus maitriensis,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Caryophanaceae,Planococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Planococcus;Planococcus maitriensis
Planococcus ruber,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Caryophanaceae,Planococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Planococcus;Planococcus ruber
Planomicrobium psychrophilum,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Caryophanaceae,Planomicrobium,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Planomicrobium;Planomicrobium psychrophilum
Gemella morbillorum,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella morbillorum
Jeotgalicoccus huakuii,coccus,0.6,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;Jeotgalicoccus huakuii
Jeotgalicoccus marinus,coccus,0.9,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;Jeotgalicoccus marinus
Macrococcoides caseolyticum,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Macrococcoides;Macrococcoides caseolyticum
Staphylococcus auricularis,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17612,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus auricularis
Staphylococcus edaphicus,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus edaphicus
Staphylococcus gallinarum,coccus,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14569,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus gallinarum
Staphylococcus saprophyticus,coccus,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus saprophyticus
Staphylococcus simulans,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9472,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus simulans
Staphylococcus xylosus,coccus,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus xylosus
Abiotrophia defectiva,coccus,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva
Aerococcus urinaeequi,coccus,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus urinaeequi
Aerococcus viridans,coccus,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus viridans
Facklamia hominis,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30229,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;Facklamia hominis
Facklamia languida,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;Facklamia languida
Enterococcus cecorum,coccus,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16130,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus cecorum
Enterococcus columbae,coccus,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus columbae
Enterococcus faecalis,coccus,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis
Streptococcus uberis,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus uberis
Peptostreptococcus anaerobius,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3532,Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus anaerobius
Peptostreptococcus stomatis,coccus,0.8,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1244,Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus stomatis
Murdochiella asaccharolytica,coccus,0.55,0.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Murdochiella;Murdochiella asaccharolytica
Peptoniphilus gorbachii,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus gorbachii
Byssovorax cruenta,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Pseudomonadati,Myxococcota,Myxococcota_Incertae_sedis,Polyangiales,Polyangiaceae,Byssovorax,Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Byssovorax;Byssovorax cruenta
Fimbriiglobus ruber,coccus,2.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,Bacteria,Pseudomonadati,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Fimbriiglobus,Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Fimbriiglobus;Fimbriiglobus ruber
Singulisphaera rosea,coccus,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Pseudomonadati,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Singulisphaera;Singulisphaera rosea
Belnapia moabensis,coccus,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Belnapia,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Belnapia;Belnapia moabensis
Belnapia rosea,coccus,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Belnapia,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Belnapia;Belnapia rosea
Belnapia soli,coccus,0.85,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Belnapia,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Belnapia;Belnapia soli
Roseomonas aerilata,coccus,1.35,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Roseomonas,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;Roseomonas aerilata
Roseomonas nepalensis,coccus,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,111,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Roseomonas,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas;Roseomonas nepalensis
Siccirubricoccus deserti,coccus,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Siccirubricoccus,Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Siccirubricoccus;Siccirubricoccus deserti
